mode,message,count
flight,INVALID DATA RECEIVED::This location code is unknown,2
flight,INVALID DATE::Date/Time is in the past,2
flight,INVALID FORMAT::destinationLocationCode must be a 3-letter code,1
flight,"{'mode': 'flight', 'parameters': {'origin': 'SFO', 'destination': 'HNL', 'departure_date': '2025-07-15', 'return_date': '2025-07-21', 'adults': 1, 'currency': 'USD', 'number_of_search_results': 5}, 'details': '{""errors"":[{""status"":400,""code"":425,""title"":""INVALID DATE"",""detail"":""Date/Time is in the past"",""source"":{}}]}'}",1
flight,"{'mode': 'flight', 'parameters': {'origin': 'SFO', 'destination': 'HNL', 'departure_date': '2026-11-07', 'return_date': '2025-07-21', 'adults': 1, 'currency': 'USD', 'number_of_search_results': 5}, 'details': '{""errors"":[{""status"":400,""code"":4926,""title"":""INVALID DATA RECEIVED"",""detail"":""The date/time of OriginDestination are not in chronological order""}]}'}",1
flight,"{'mode': 'flight', 'parameters': {'origin': 'KTM', 'destination': 'KTM', 'departure_date': '2025-12-05', 'return_date': None, 'adults': 1, 'currency': 'USD', 'number_of_search_results': 5}, 'details': '{""errors"":[{""status"":400,""code"":4926,""title"":""INVALID DATA RECEIVED"",""detail"":""The multiple O/D overlap""}]}'}",1
flight,"{'mode': 'flight', 'parameters': {'origin': 'SIN', 'destination': 'Bali (DPS)', 'departure_date': '2026-03-10', 'return_date': None, 'adults': 1, 'currency': 'USD', 'number_of_search_results': 5}, 'details': '{""errors"":[{""status"":400,""code"":477,""title"":""INVALID FORMAT"",""detail"":""destinationLocationCode must be a 3-letter code"",""source"":{""pointer"":""destinationLocationCode"",""example"":""LON""}}]}'}",1
flight,"{'mode': 'flight', 'parameters': {'origin': 'SYD', 'destination': 'BYY', 'departure_date': '2025-12-12', 'return_date': '2025-12-18', 'adults': 1, 'currency': 'USD', 'number_of_search_results': 5}, 'details': '{""errors"":[{""status"":400,""code"":4926,""title"":""INVALID DATA RECEIVED"",""detail"":""This location code is unknown""}]}'}",1
flight,"{'mode': 'flight', 'parameters': {'origin': 'SFO', 'destination': 'HNL', 'departure_date': '2025-07-15', 'return_date': None, 'adults': 1, 'currency': 'USD', 'number_of_search_results': 5}, 'details': '{""errors"":[{""status"":400,""code"":425,""title"":""INVALID DATE"",""detail"":""Date/Time is in the past"",""source"":{}}]}'}",1
hotel,NOTHING FOUND FOR REQUESTED CITY::Nothing found for the requested criteria,4
hotel,INVALID FACILITY CODE::Invalid amenity codes,4
hotel,INVALID CITY / AIRPORT IATA CODE::Invalid airport code,2
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'SFO', 'radius': 5, 'amenities': ['SKI_RESORT', 'NEAR_SKIING_LOCATIONS', 'HOT_SPRINGS']}, 'details': '{""errors"":[{""code"":7211,""detail"":""Invalid amenity codes"",""status"":400,""title"":""INVALID FACILITY CODE""}]}'}",1
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'MUS', 'radius': 10, 'amenities': ['AIR_CONDITIONING', 'RESTAURANT', 'PARKING', 'KITCHEN', 'BEACH']}, 'details': '{""errors"":[{""code"":895,""detail"":""Nothing found for the requested criteria"",""status"":400,""title"":""NOTHING FOUND FOR REQUESTED CITY""}]}'}",1
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'BYY', 'radius': 5, 'amenities': []}, 'details': '{""errors"":[{""code"":11177,""detail"":""Invalid airport code"",""status"":400,""title"":""INVALID CITY / AIRPORT IATA CODE""}]}'}",1
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'BYY', 'radius': 5, 'amenities': ['WIFI']}, 'details': '{""errors"":[{""code"":11177,""detail"":""Invalid airport code"",""status"":400,""title"":""INVALID CITY / AIRPORT IATA CODE""}]}'}",1
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'KTM', 'radius': 5, 'amenities': ['NO_KID_ALLOWED', 'WIFI']}, 'details': '{""errors"":[{""code"":895,""detail"":""Nothing found for the requested criteria"",""status"":400,""title"":""NOTHING FOUND FOR REQUESTED CITY""}]}'}",1
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'DPS', 'radius': 5, 'amenities': ['WIFI', 'AIR_CONDITIONING', 'RESTAURANT', 'PARKING', 'FITNESS_CENTER', 'KITCHEN']}, 'details': '{""errors"":[{""code"":895,""detail"":""Nothing found for the requested criteria"",""status"":400,""title"":""NOTHING FOUND FOR REQUESTED CITY""}]}'}",1
hotel,"{'mode': 'hotel', 'parameters': {'city_code': 'KIX', 'radius': 5, 'amenities': ['TEA_CEREMONY', 'ZEN_MEDITATION_ROOMS', 'Kaiseki_cuisine', 'FLOWER_VIEWING']}, 'details': '{""errors"":[{""code"":7211,""detail"":""Invalid amenity codes"",""status"":400,""title"":""INVALID FACILITY CODE""}]}'}",1
